,,,Naming Conventions,,,,,,Studio Categories,,,,,Studio Launch Dates,,,Studio Leadership,,,,,,Contact Information,,,,,,Geography,,,,,,,,,,,Online Footprint,,,Lease Information,,,Payroll,Franchising Information,,,,,,
Wilsonville,30,OR [S],ORWV,ORWV OR-wilsonville,Wilsonville,Club Pilates Wilsonville,13708,ORWV,Open,13 - 24 Months,18,4,De Novo,3/7/2024,3/7/2024,4/21/2024,Kristin Chandler,Janelle Engel,Olivia Buck,A1LP,N/A,Jocelyn McLagan,Julia Ostrovskaia,wilsonville@clubpilates.com,wilsonvillegm@clubpilates.com,wilsonvillegm@riserfit.com,wilsonvilleli@clubpilates.com,wilsonvilleli@riserfit.com,(971) 200-7038,"8695 SW Jack Burns Blvd, Suite E, Wilsonville, OR 97070","8695 SW Jack Burns Blvd, Suite E",Wilsonville,Clackamas County,OR,97070,45.33,-122.77,PDX,PDX,Northwest,https://www.clubpilates.com/location/wilsonville,https://www.instagram.com/clubpilates_wilsonville/,https://www.facebook.com/clubpilateswilsonville,2220,May-44,Argyle Capital LLC,5,Sep-23 Consolidated 45,5/9/2023,1/11/2024,3245,8.00%,
Brigham Road,98,UT,UTBR,UTBR UT-Brigham Road,Brigham Road,Club Pilates Brigham Road,15020,UTBR,Open,< 6 Months,12,3,Acquisition,12/4/2025,12/4/2025,1/18/2026,Kassandra Lopez,Kristina Miranda,Ambria Jones,A1MH,N/A,Lydia Rienbach,Arianna Hansen,brighamroad@clubpilates.com,brighamroadgm@clubpilates.com,brighamroadgm@riserfit.com,greenspringsli@clubpilates.com,greenspringsli@riserfit.com,(435) 740-6115,"922 East Brigham Road, unit 5c, St. George, UT 84790","922 East Brigham Road, Unit 5c",St. George,Washington County,UT,84790,37.05,-113.57,UTA,UTA,Northwest,https://www.clubpilates.com/location/brighamroad,https://www.instagram.com/clubpilatesbrighamroad,https://www.facebook.com/clubpilatesbrighamroad,,,,0,Harper,,,3647,8.00%,
Green Springs,94,UT,UTGS,UTGS UT-Green Springs,Green Springs,Club Pilates Green Springs,14415,UTGS,Open,< 6 Months,12,3,Acquisition,2/27/2025,11/5/2025,4/13/2025,Kassandra Lopez,Kristina Miranda,Emma Pieraccini,A1M3,N/A,Lydia Rienbach,Arianna Hansen,greensprings@clubpilates.com,greenspringsgm@clubpilates.com,greenspringsgm@riserfit.com,greenspringsli@clubpilates.com,greenspringsli@riserfit.com,(435) 599-7744,"740 W Telegraph St., Suite 4, Washington, UT 84780",740 W Telegraph St. Suite 4,Washington,Washington County,UT,84780,37.13,-113.5,UTA,UTA,Northwest,https://www.clubpilates.com/location/greensprings,https://www.instagram.com/clubpilatesgreensprings,https://www.facebook.com/clubpilatesgreensprings,,,,0,Harper,,,3551,8.00%,
Pioneer Parkway,95,UT,UTPP,UTPP UT-Pioneer Parkway,Pioneer Parkway,Club Pilates Pioneer Parkway,13045,UTPP,Open,< 6 Months,12,3,Acquisition,7/13/2023,11/5/2025,8/27/2023,Kassandra Lopez,Kristina Miranda,Madison Chacon,A1MG,N/A,Lydia Rienbach,Arianna Hansen,pioneerparkway@clubpilates.com,pioneerparkwaygm@clubpilates.com,pioneerparkwaygm@riserfit.com,greenspringsli@clubpilates.com,greenspringsli@riserfit.com,(435) 600-3540,"3542 Pioneer Pkwy Suite 104, Santa Clara, UT 84765",3542 Pioneer Pkwy Suite 104,Santa Clara,Washington County,UT,84765,37.15,-113.66,UTA,UTA,Northwest,https://www.clubpilates.com/location/pioneerparkway,https://www.instagram.com/clubpilatespioneerparkway,https://www.facebook.com/clubpilatespioneerparkway,,,,0,Harper,,,3058,8.00%,
Bonney Lake,60,WA,WABL,WABL WA-Bonney Lake,Bonney Lake,Club Pilates Bonney Lake,14518,WABL,Open,13 - 24 Months,12,4,De Novo,2/20/2025,2/20/2025,4/6/2025,Kristin Chandler,Isabel Swanson,Katie Para,A1CA,N/A,Emily Freeman,Heidi Stark,bonneylake@clubpilates.com,bonneylakegm@clubpilates.com,bonneylakegm@riserfit.com,Bonneylakeli@clubpilates.com,Bonneylakeli@riserfit.com,(253) 736-2292,"20825 Washington 410, Bonney Lake, WA 98391",20825 Washington 410,Bonney Lake,Pierce County,WA,98391,47.17,-122.15,SEA,SEA,Northwest,https://www.clubpilates.com/location/bonneylake,https://www.instagram.com/clubpilates_bonneylake/,https://www.facebook.com/clubpilatesbonneylake/,1520,Feb-46,Joseph W Walike MD,5,Sep-23 Consolidated 45,5/9/2023,,3250,8.00%,
Crown Hill,55,WA,WACH,WACH WA-crown-hill,Crown Hill,Club Pilates Crown Hill,13573,WACH,Open,13 - 24 Months,24,4,De Novo,12/16/2024,12/16/2024,1/30/2025,Kristin Chandler,Isabel Swanson,Terrell Stephens,A0R1,N/A,Emily Freeman,Tiffany Lodes,crownhill@clubpilates.com,crownhillgm@clubpilates.com,crownhillgm@riserfit.com,crownhillli@clubpilates.com,crownhillli@riserfit.com,(206) 210-8332,"9749 Holman Rd. NW, Seattle, WA 98117",9749 Holman Rd. NW,Seattle,King County,WA,98117,47.7,-122.36,SEA,SEA,Northwest,https://www.clubpilates.com/location/crownhill,https://www.instagram.com/clubpilates_crownhill/,https://www.facebook.com/clubpilatescrownhill,3263,Jun-44,"F.R. MCABEE, INCORPORATED",5,Sep-23 Consolidated 45,8/26/2022,6/26/2024,3118,8.00%,
Interbay,83,WA,WAIB,WAIB WA-Interbay,Interbay,Club Pilates Interbay,14645,WAIB,Open,6 - 12 Months,20,4,De Novo,8/7/2025,8/7/2025,9/21/2025,Kristin Chandler,Isabel Swanson,Conor Meredith,A10P,Katie Baker,Emily Freeman,Adena Atkins,Interbay@clubpilates.com,Interbaygm@clubpilates.com,Interbaygm@riserfit.com,interbayli@clubpilates.com,interbayli@riserfit.com,(206) 209-1410,"1827 15th Avenue West, Suite A10, Seattle, WA 98119","1827 15th Avenue West, Suite A10",Seattle,King County,WA,98119,47.64,-122.38,SEA,SEA,Northwest,https://www.clubpilates.com/location/interbay,https://www.instagram.com/clubpilates_interbay/,https://www.facebook.com/clubpilatesinterbay,2416,TBD,DS Properties 18 LP,5,Sep-23 Consolidated 45,5/9/2023,,3252,8.00%,
Lake Tapps,77,WA,WALT,WALT WA-Lake Tapps,Lake Tapps,Club Pilates Lake Tapps,14519,WALT,Open,6 - 12 Months,12,4,De Novo,4/24/2025,4/24/2025,6/8/2025,Kristin Chandler,Isabel Swanson,N/A,A0WS,N/A,Emily Freeman,Nika Eshetu,laketapps@clubpilates.com,laketappsgm@clubpilates.com,laketappsgm@riserfit.com,laketappsli@clubpilates.com,laketappsli@riserfit.com,(253) 264-3303,"1418 Lake Tapps Parkway, #C-104, Auburn, WA 98092","1418 Lake Tapps Parkway, #C-104",Auburn,Pierce County,WA,98902,47.24,-122.21,SEA,SEA,Northwest,https://www.clubpilates.com/location/LakeTapps,https://www.instagram.com/clubpilateslaketapps/,https://www.facebook.com/clubpilateslaketapps/,1831,Apr-45,"WC PROPERTIES (EDENS), LLC",5,Sep-23 Consolidated 45,5/9/2023,,3249,8.00%,
Mercer Island,8,WA,WAMI,WAMI WA-mercer-island,Mercer Island,Club Pilates Mercer Island,6610,6610,Open,2+ Years,12,4,Acquisition,2/28/2018,11/1/2021,4/14/2018,Kristin Chandler,Isabel Swanson,Sarah Paul,A15E,N/A,Emily Freeman,Emily Freeman,mercerisland@clubpilates.com,mercerislandgm@clubpilates.com,mercerislandgm@riserfit.com,mercerislandli@clubpilates.com,mercerislandli@riserfit.com,(206) 656-0880,"2601 76th Ave SE, Ste. 103, Mercer Island, WA 98040","2601 76th Ave SE, Ste. 103",Mercer Island,King County,WA,98040,47.59,-122.24,SEA,SEA,Northwest,https://www.clubpilates.com/location/mercerisland,https://www.instagram.com/clubpilatesmercerisland/,https://www.facebook.com/clubpilatesmercerisland,1671,Feb-38,SyHadley LLC c/o Sy West Development LLC,5,Shah,7/21/2017,2/28/2022,1543,7.00%,
Sammamish,29,WA,WASA,WASA WA-sammamish,Sammamish,Club Pilates Sammamish,13580,WASA,Open,2+ Years,24,4,De Novo,2/29/2024,2/29/2024,4/14/2024,Kristin Chandler,Isabel Swanson,Liliana Iurco,A123,Christa Jordan,Emily Freeman,Valerie Theodorou,sammamish@clubpilates.com,sammamishgm@clubpilates.com,sammamishgm@riserfit.com,sammamishli@clubpilates.com,sammamishli@riserfit.com,(425) 629-9479,"608 228th Ave NE, Suite 608, Sammamish, WA 98074","608 228th Ave NE, Suite 608",Sammamish,King County,WA,98074,47.61,-122.03,SEA,SEA,Northwest,https://www.clubpilates.com/location/sammamish,https://www.instagram.com/clubpilates_sammamish/,https://www.facebook.com/clubpilatessammamish,2800,Feb-39,Regency Centers LP,5,Sep-23 Consolidated 45,8/26/2022,6/26/2024,3114,8.00%,
San Angel,103,MX,MXSA,MXSA Mexico-San Angel,San Angel,Club Pilates San Angel,15169,N/A,Open,SO to GO,20,,De Novo,2/26/2026,2/26/2026,4/16/2026,Oscar Antúnez,Oscar Antúnez,Oscar Antúnez,N/A,N/A,N/A,N/A,,,,N/A,N/A,(551) 237-8089,,,,,,,,,,,,,,,,,,0,,,,,3.00%,
Catalina Foothills,105,AZ,AZCF,AZCF AZ-Catalina Foothills,Catalina Foothills,Club Pilates Catalina Foothills,15036,AZCF,Presale,Inactive,12,4,De Novo,3/26/2026,4/24/2026,5/10/2026,Daniela Valenzuela,Kasandra Ryan,Nikki Hacker,A18W,N/A,Amy Young,Jamey Powers,catalinafoothills@clubpilates.com,catalinafoothillsgm@clubpilates.com,N/A,catalinafoothillsli@clubpilates.com,catalinafoothillsli@riserfit.com,(520) 372-5515,"1865 E. River Rd., Suite 151, Tucson, AZ 85749","1865 E. River Rd., Suite 151",Tucson,Pima County,AZ,85749,32.29,-110.94,TUC,TUC,SouthWest,https://www.clubpilates.com/location/catalinafoothills,https://www.instagram.com/clubpilatescatalinafoothills/,https://www.facebook.com/clubpilatescatalinafoothills/,,,,0,,,,,8.00%,
Lakeville South,104,MN [S],MNLS,MNLS MN-Lakeville South,Lakeville South,Club Pilates Lakeville South,15161,MNSL,Presale,Inactive,18,4,De Novo,3/19/2026,3/27/2026,5/3/2026,Kassandra Lopez,Megan Koski,Mary Ricklick,A1C4,N/A,Natasha Murphy,N/A,lakevillesouth@clubpilates.com,lakevillesouthgm@clubpilates.com,N/A,N/A,N/A,(952) 697-2550,"20137 Idealic Ave., Lakeville, MN 55044",20137 Idealic Ave.,Lakeville,Dakota County,MN,55044,44.66,-93.24,MSP,MIN,Midwest,https://www.clubpilates.com/location/lakevillesouth,https://www.instagram.com/clubpilateslakevillesouth/,https://www.facebook.com/clubpilateslakevillesouth/,2500,#N/A,#N/A,0,Sep-23 Consolidated 45,9/29/2023,,,8.00%,
Shakopee,106,MN [S],MNSK,MNSK MN-Shakopee,N/A,Club Pilates Shakopee,15159,MNSK,Presale,Inactive,12,4,De Novo,3/26/2026,4/24/2026,5/10/2026,Kassandra Lopez,N/A,N/A,N/A,N/A,Natasha Murphy,N/A,shakopee@clubpilates.com,shakopeegm@clubpilates.com,N/A,N/A,N/A,(952) 698-0668,"1667 17th Ave E, Suite 12, Shakopee, MN 55379","1667 17th Ave E, Suite 12",Shakopee,Scott County,MN,55379,44.77,-93.5,MSP,MIN,Midwest,https://www.clubpilates.com/location/shakopee,https://www.instagram.com/clubpilatesshakopee/,https://www.facebook.com/clubpilatesshakopee/,,,,0,,,,,8.00%,
Milwaukie,107,OR [S],ORMW,ORMW OR-Milwaukie,N/A,Club Pilates Milwaukie,15234,ORMW,Presale,Inactive,12,4,De Novo,7/16/2026,6/5/2026,8/30/2026,Kristin Chandler,Janelle Engel,N/A,N/A,N/A,Jocelyn McLagan,N/A,milwaukie@clubpilates.com,,,N/A,N/A,,"10810 SE Oak St., Suite 3, Milwaukie, OR 97222","10810 SE Oak St., Suite 3",Milwaukie,,OR,97222,45.44,-122.63,,,,,,,,,,5,,,,,8.00%,
Ballard,108,WA,WABA,WABA WA-Ballard,Ballard,Club Pilates Ballard,15039,WABA,Presale,Inactive,12,4,De Novo,5/7/2026,6/12/2026,6/21/2026,N/A,N/A,N/A,N/A,N/A,Emily Freeman,N/A,ballard@clubpilates.com,ballardgm@clubpilates.com,N/A,N/A,N/A,(206) 580-0586,"1545 NW Market St., Suite 118 & 119, Seattle, WA 98107","1545 NW Market St., Suite 118 & 119",Seattle,King County,WA,98107,47.67,-122.38,SEA,SEA,Northwest,https://www.clubpilates.com/location/ballard,https://www.instagram.com/clubpilates.ballard/,https://www.facebook.com/clubpilatesballard/,,,,5,,,,,8.00%,
Mount Baker,111,WA,WAMB,WAMB WA-Mount Baker,Mount Baker,Club Pilates Mount Baker,15037,WAMB,Presale,Inactive,12,4,De Novo,6/18/2026,7/17/2026,8/2/2026,N/A,N/A,N/A,N/A,N/A,Emily Freeman,N/A,mountbaker@clubpilates.com,mountbakergm@clubpilates.com,N/A,N/A,N/A,(360) 364-0908,"1750 22nd Avenue S., Suite 400E, Seattle, WA 98144","1750 22nd Avenue S., Suite 400E",Seattle,King County,WA,98144,47.59,-122.3,SEA,SEA,Northwest,https://www.clubpilates.com/location/mountbaker,https://www.instagram.com/clubpilatesmountbaker/,https://www.facebook.com/clubpilatesmountbaker/,,,,5,,,,,8.00%,
Puyallup South Hill,112,WA,WAPU,WAPU WA-Puyallup,N/A,Club Pilates Puyallup South Hill,15245,WAPY,Presale,Inactive,12,5,De Novo,7/16/2026,7/17/2026,8/30/2026,N/A,N/A,N/A,N/A,N/A,Emily Freeman,N/A,puyallupsouthhill@clubpilates.com,,,N/A,N/A,(253) 881-7877,"13103 Meridian Ave E., Suite 104, Puyallup, WA 98373","13103 Meridian Ave E., Suite 104",Puyallup,,WA,98373,47.14,-122.29,,,,,,,,,,5,,,,,8.00%,
Bear Canyon,109,AZ,AZBC,AZBC AZ-Bear Canyon,N/A,Club Pilates Bear Canyon,15038,AZBC,Presale,Inactive,12,4,De Novo,7/16/2026,7/16/2026,8/30/2026,N/A,N/A,N/A,N/A,N/A,Amy Young,Jamey Powers,bearcanyon@clubpilates.com,bearcanyongm@clubpilates.com,N/A,catalinafoothillsli@clubpilates.com,catalinafoothillsli@riserfit.com,(520) 428-1050,"9105 E Tanque Verde Rd. Tucson, Arizona 85749",9105 E Tanque Verde Rd. Tucson,Tucson,Pima County,AZ,85749,32.26,-110.8,TUC,TUC,Southwest,https://www.clubpilates.com/location/bearcanyon,https://www.instagram.com/clubpilatesbearcanyon/,https://www.facebook.com/clubpilatesbearcanyon/,1861,#N/A,#N/A,0,,,,,8.00%,
Livermore,110,CA [N-EB],CALI,CALI CA-Livermore,Livermore,Club Pilates Livermore,14932,CALI,Presale,Inactive,12,5,De Novo,7/16/2026,7/16/2026,8/30/2026,Kristin Chandler,N/A,N/A,N/A,N/A,Annabel Castaldo,N/A,livermore@clubpilates.com,livermoregm@clubpilates.com,livermoregm@riserfit.com,N/A,N/A,(925) 315-9818,"2100 Portola Ave. E, Suite B5, Livermore, CA 94551","2100 Portola Ave. E, Suite B5",Pleasanton,Alameda County,CA,94551,37.69,-121.77,BAY,BAY,Southwest,https://www.clubpilates.com/location/Livermore,https://www.instagram.com/clubpilateslivermore/,https://www.facebook.com/clubpilateslivermore/,1611,#N/A,#N/A,5,Sep-23 Consolidated 45,5/9/2023,,3617,8.00%,
Lakeshore,113,CA [N-WB],CALS,CALS CA-Lakeshore,Lakeshore,Club Pilates Lakeshore,14931,CALS,Upcoming,Inactive,12,5,De Novo,12/10/2026,12/10/2026,1/24/2027,Kristin Chandler,,N/A,N/A,N/A,Annabel Castaldo,N/A,lakeshore@clubpilates.com,lakeshoregm@clubpilates.com,lakeshoregm@riserfit.com,N/A,N/A,(415) 363-8008,"1569 Sloat Blvd., Suite A200, San Francisco, California, 94132","1569 Sloat Blvd., Suite A200",San Francisco,San Francisco County,CA,94132,37.73,-122.49,BAY,BAY,Southwest,https://www.clubpilates.com/location/lakeshore,https://www.instagram.com/clubpilateslakeshore/,https://www.facebook.com/clubpilateslakeshore/,1657,#N/A,#N/A,5,Sep-23 Consolidated 45,9/29/2023,,3619,8.00%,
